vpid,artist
b00y38gy,Slade
b00y38gy,T. Rex
b00y38gy,The B‐52s
b00y38gy,The Doors
b00y38gy,The Sweet
b00y38gy,Wizzard
b00y38gy,XTC
b00y38hs,"CASSIDY, DAVID & THE PARTRIDGE FAMILY"
b00y38hs,Bay City Rollers
b00y38hs,Beck
b00y38hs,Bros
b00y38hs,David Cassidy
b00y38hs,Felt
b00y38hs,Jason Donovan
b00y38hs,Kylie Minogue & Jason Donovan
b00y38hs,Kylie Minogue
b00y38hs,Mud
b00y38hs,Oasis
b00y38hs,Reynolds Girls
b00y38hs,Rick Astley
b00y38hs,Suzi Quatro
b00y38hs,Take That
b00y38hs,Tartan Horde
b00y38hs,The Beach Boys
b00y38hs,The Jackson 5
b00y38hs,The Monkees
b00y38hs,The Osmonds
b00y38hs,The Partridge Family
b00y38hs,The Sweet
b00y38hs,XTC
b00y3ys2,"Louis Prima, Phil Harris & Bruce Reitherman"
b00y3ys2,Fine Young Cannibals
b00y3ys2,Fred Wesley and The J.B.’s
b00y3ys2,George Michael
b00y3ys2,Hank Ballard and The Midnighters
b00y3ys2,James Brown & Full Force
b00y3ys2,James Brown with Full Force
b00y3ys2,James Brown
b00y3ys2,PRINCE AND THE NEW POWER GENERATION
b00y3ys2,Public Enemy
b00y3ys2,Rob Base & D.J. E‐Z Rock
b00y3ys2,Sinéad O’Connor
b00y3ys2,The Cars
b00y3ys2,The Zutons
b00y3ys2,The “5” Royales
b00y3ys2,Tyree
b00y3ys2,XTC
b00y3yw5,Depeche Mode
b00y3yw5,Dexys Midnight Runners
b00y3yw5,Empire of the Sun
b00y3yw5,Jagwar Ma
b00y3yw5,Pete Wylie
b00y3yw5,Placebo
b00y3yw5,Stereolab
b00y3yw5,The Rolling Stones
b00y3z5s,Maximum Balloon & Theophilus London
b00y3z5s,Public Image Ltd
b00y3z5s,Sex Pistols
b00y3z5s,Sid Vicious
b00y3z5s,The Go‐Betweens
b00y3z5s,The Psychedelic Furs
b00y3z5s,XTC
b00y3z5s,X‐Ray Spex
b00y3z6t,Al Dickinson
b00y3z6t,Baccara
b00y3z6t,Brotherhood of Man
b00y3z6t,Cocteau Twins
b00y3z6t,Don Covay
b00y3z6t,Doop
b00y3z6t,Edie Brickell & Edie Brickell & New Bohemians
b00y3z6t,Elvis Costello
b00y3z6t,IAN DURY
b00y3z6t,Johnny & The Self Abusers
b00y3z6t,Joy Division
b00y3z6t,Madness
b00y3z6t,New Order
b00y3z6t,Nick Lowe
b00y3z6t,Squeeze
b00y3z6t,THE SPECIALS
b00y3z6t,The Damned
b00y3z6t,The Floaters
b00y3z6t,The Specials
b00y3z6t,The Undertones
b00y3z6t,Tyla Gang
b00y3z6t,Wreckless Eric
b00y3z6t,XTC
b00y4617,"JAY, PETER & THE JAYWALKERS"
b00y4617,Chris Farlowe
b00y4617,Dobie Gray
b00y4617,Jimmy Cliff
b00y4617,Manfred Mann
b00y4617,Petula Clark
b00y4617,Richard Ashcroft
b00y4617,Roger Miller
b00y4617,Small Faces
b00y4617,Talking Heads
b00y4617,The Kinks
b00y4617,The Moody Blues
b00y4617,The Rolling Stones
b00y4617,The Spencer Davis Group
b00y4617,The Who
b00y4617,Tom Petty and the Heartbreakers
b00y4617,XTC
b00y461r,BABY LOVE
b00y461r,Barrett Strong
b00y461r,Ben E. King
b00y461r,Diana Ross & The Supremes
b00y461r,Edwin Starr
b00y461r,Four Tops
b00y461r,Jackie Wilson
b00y461r,Martha Reeves and The Vandellas
b00y461r,Marv Johnson
b00y461r,Marvin Gaye & Kim Weston
b00y461r,Marvin Gaye
b00y461r,Patrice Holloway
b00y461r,Paul Weller
b00y461r,Please Mr Postman
b00y461r,Ryan Adams
b00y461r,SHOP AROUND
b00y461r,Stevie Wonder
b00y461r,The Beatles
b00y461r,The Contours
b00y461r,The Elgins
b00y461r,The Isley Brothers
b00y461r,The Jackson 5
b00y461r,The Supremes
b00y461r,The Temptations
b00y461r,XTC
b00y485v,Boy & Bear
b00y485v,British Sea Power
b00y485v,Elbow
b00y485v,I Am Kloot
b00y485v,Madness
b00y485v,The Crazy World of Arthur Brown
b00y485v,White Denim
b00y4cql,Alexis Korner’s Blues Incorporated
b00y4cql,Big Bill Broonzy
b00y4cql,Elbow
b00y4cql,Goldfrapp
b00y4cql,JOHN LEE HOOKER JR.
b00y4cql,John Mayall
b00y4cql,Little Walter
b00y4cql,Manfred Mann
b00y4cql,Marianne Faithfull
b00y4cql,Muddy Waters
b00y4cql,Robert Johnson
b00y4cql,Sonny Boy Williamson
b00y4cql,Sonny Terry & Brownie McGhee
b00y4cql,THE ROLLING STONES
b00y4cql,The Animals
b00y4cql,The Liverpool Scene
b00y4cql,The Rolling Stones
b00y4cql,The Yardbirds
b00y4cql,XTC
b00y4x7r,Cream
b00y4x7r,Donovan
b00y4x7r,Jeff Beck
b00y4x7r,Joe Cocker
b00y4x7r,Led Zeppelin
b00y4x7r,P.J. Proby
b00y4x7r,The Who
b00y4x7r,The Yardbirds
b00y4x7r,Them
b00y4x7r,Tom Jones
b00y4x7r,XTC
b00y9srj,"DOE, ERNIE K"
